Time,Umred1,Umred2,Umred4,Umred6,Umred7,Umred8,Umred9,Umred10,Saoner9,Saoner8,Saoner7,Saoner3,Ramtek6,Ramtek5,Ramtek3,Ramtek2,Ramtek1,Parseoni5,Parseoni2,Narkhed8,Parseoni7,Parseoni6,Parseoni4,Parseoni10,Parseoni1,Narkhed7,Narkhed4,Narkhed3,Narkhed10,Narkhed1,Nagpur6,Nagpur8,Nagpur9,Nagpur7,Nagpur4,Nagpur5,Kuhi8,Kuhi5,Nagpur3,Mauda9,Mauda4,Mauda3,Kuhi9,Nagpur2,Kuhi3,Kuhi2,Kuhi10,Kuhi1,Katol9,Katol8,Katol6,Katol10,Katol1,Kamthi9,Kamthi6,Kamthi5,Kalmeshwar4,Hingna9,Kamthi4,Kamthi2,Kamthi10,Kalmeshwar8,Kalmeshwar6,Hingna7,Hingna6,Hingna10,Hingna1,Bhivapur9,Bhivapur8,Bhivapur7,Bhivapur5,Bhivapur4,Bhivapur3,Bhivapur2,Bhivapur10
1/20/1981,0,0,3.085212,0,6.939175,0,0,0,8.485837,0,0,0,6.939175,0,0,0,0,0,6.365538,0,0,0,0,0,0,0,0,0,0,7.642689,8.26588,0,0,0,6.945261,0,0,0,0,8.491708,0,0,0,0,0,6.923664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.642689,0,0,0,0,0,4.465611,8.173714,5.771657,3.784676,6.945261,0,0
1/21/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.48104,0,0,0,0,0,0,0,0,15.10753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.131649,0,0,0,0,0,1.131649,0,8.507344,21.66934,18.1847,7.563768,0,0,0
1/22/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/23/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/24/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/25/1981,0,0,1.852093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/26/1981,5.53545,5.702893,0,0,6.171485,5.653664,5.53545,5.702893,3.261905,7.967569,5.653664,5.702893,6.171485,7.494283,7.494283,7.494283,10.89602,7.70183,5.757244,11.24071,5.702893,6.353697,5.53545,7.494283,7.494283,6.736799,7.494283,5.702893,5.702893,5.041881,0,5.702893,8.642016,5.702893,0,5.702893,7.70183,5.653664,5.702893,0,7.494283,5.702893,7.494283,7.494283,5.53545,4.138483,5.53545,5.53545,5.702893,5.702893,6.353697,5.702893,7.494283,5.702893,5.702893,5.53545,7.967569,5.653664,5.702893,5.702893,8.808769,5.53545,5.041881,5.53545,5.53545,5.702893,8.808769,5.53545,4.213032,0,2.853405,2.980837,0,5.53545,5.653664
1/27/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.140895,6.687396,4.734353,3.638579,0,0,0
1/28/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/29/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
