,State,Station Name,Rainfall
0,ANDHRA PRADESH,ADILABAD,0.0
1,ANDHRA PRADESH,ASWARAOPET,0.0
2,ANDHRA PRADESH,AVANIGADDA,0.0
3,ANDHRA PRADESH,CHITTOOR,0.0
4,ANDHRA PRADESH,DARSI,296.0
5,ANDHRA PRADESH,DEVARAKONDA,0.0
6,ANDHRA PRADESH,GARIKAPADU,0.0
7,ANDHRA PRADESH,GUNTHAKAL,0.0
8,ANDHRA PRADESH,KAMAREDDY,0.0
9,ANDHRA PRADESH,KOMARADA,0.0
10,ANDHRA PRADESH,KUKATPALLY JNTU,0.0
11,ANDHRA PRADESH,MADHIRA,0.0
12,ANDHRA PRADESH,MAHBUBNAGAR,0.0
13,ANDHRA PRADESH,MEDAK,0.0
14,ANDHRA PRADESH,MULUGU,0.0
15,ANDHRA PRADESH,NAGARJUNA SAGAR,0.0
16,ANDHRA PRADESH,NANDIGAMA,0.0
17,ANDHRA PRADESH,NARASARAOPET,0.0
18,ANDHRA PRADESH,NARAYANKHED,0.0
19,ANDHRA PRADESH,NIRMAL,0.0
20,ANDHRA PRADESH,PRATHIPADU,0.0
21,ANDHRA PRADESH,SERILINGAMPALLY,0.0
22,ANDHRA PRADESH,SHADNAGAR,0.0
23,ANDHRA PRADESH,SHAMSHABAD,0.0
24,ANDHRA PRADESH,VIJAYAWADA,0.0
25,ANDHRA PRADESH,WARANGAL,0.0
26,ANDHRA PRADESH,YELLANDU,0.0
27,ANDHRA PRADESH,YEMMIGANUR,0.0
28,ARUNACHAL PRADESH,ALONG,18.0
29,ARUNACHAL PRADESH,BOMDILA,0.0
30,ASSAM,BIJNI,0.0
31,ASSAM,BONGAIGAON,0.0
32,ASSAM,CHAMATA,0.0
33,ASSAM,DHUPDHARA,0.0
34,ASSAM,DUDHNOI,0.0
35,ASSAM,HARINAGAR,0.0
36,ASSAM,JAGIROAD,0.0
37,ASSAM,KHETRI,0.0
38,ASSAM,LAHARIGHAT,2.0
39,ASSAM,LANKA,0.0
40,ASSAM,SONARI,0.0
41,ASSAM,SRIJANGRAM,0.0
