State,Station,Rainfall
ANDHRA PRADESH,ADILABAD,0
ANDHRA PRADESH,ASWARAOPET,0
ANDHRA PRADESH,AVANIGADDA,0
ANDHRA PRADESH,CHITTOOR,0
ANDHRA PRADESH,DARSI,296
ANDHRA PRADESH,DEVARAKONDA,0
ANDHRA PRADESH,GARIKAPADU,0
ANDHRA PRADESH,GUNTHAKAL,0
ANDHRA PRADESH,KAMAREDDY,0
ANDHRA PRADESH,KOMARADA,0
ANDHRA PRADESH,KUKATPALLY JNTU,0
ANDHRA PRADESH,MADHIRA,0
ANDHRA PRADESH,MAHBUBNAGAR,0
ANDHRA PRADESH,MEDAK,0
ANDHRA PRADESH,MULUGU,0
ANDHRA PRADESH,NAGARJUNA SAGAR,0
ANDHRA PRADESH,NANDIGAMA,0
ANDHRA PRADESH,NARASARAOPET,0
ANDHRA PRADESH,NARAYANKHED,0
ANDHRA PRADESH,NIRMAL,0
ANDHRA PRADESH,PRATHIPADU,0
ANDHRA PRADESH,SERILINGAMPALLY,0
ANDHRA PRADESH,SHADNAGAR,0
ANDHRA PRADESH,SHAMSHABAD,0
ANDHRA PRADESH,VIJAYAWADA,0
ANDHRA PRADESH,WARANGAL,0
ANDHRA PRADESH,YELLANDU,0
ANDHRA PRADESH,YEMMIGANUR,0
ARUNACHAL PRADESH,ALONG,18
ARUNACHAL PRADESH,BOMDILA,0
ASSAM,BIJNI,0
ASSAM,BONGAIGAON,0
ASSAM,CHAMATA,0
ASSAM,DHUPDHARA,0
ASSAM,DUDHNOI,0
ASSAM,HARINAGAR,0
ASSAM,JAGIROAD,0
ASSAM,KHETRI,0
ASSAM,LAHARIGHAT,2
ASSAM,LANKA,0
ASSAM,SONARI,0
ASSAM,SRIJANGRAM,0
ASSAM,TAMULPUR,0
ASSAM,TIHU,0
ASSAM,TITABOR,0
BHUTAN,DEOTHANG,8
BIHAR,BAKHTIYARPUR,0
BIHAR,BIHARSHARRIF,0
BIHAR,DARBANGHA_ARG,0
BIHAR,HATHUA,0
BIHAR,RAJAULI,0
BIHAR,SITAMARHI,0
BIHAR,SUPAUL,0
CHANDIGARH,CHANDIGARH,4
CHATTISGARH,BAGICHA,0
CHATTISGARH,DHARAMJAIGARH,0
CHATTISGARH,MOHALA,0
CHATTISGARH,NAWAGARH,0
CHATTISGARH,NAYA RAIPUR,0
CHATTISGARH,PITHORA,0
CHATTISGARH,RAMANUJGANJ,0
DAMAN AND DIU,DAMAN_ARG,0
DELHI,AYANAGAR,0
DELHI,DELHI UNIVERSITY,0
GOA,CANACONA,11
GOA,VALPOI,39
GUJARAT,AHWA,0
GUJARAT,BHUJ,0
GUJARAT,DAHOD,0
GUJARAT,SAVARKUNDLA,0
HARYANA,AMBALA,10
HARYANA,BAHADURGARH,0
HARYANA,BALASMAND,0
HARYANA,BARARA,0
HARYANA,BAWAL,0
HARYANA,BERI,0
HARYANA,CHACCHRAULI,0
HARYANA,CHARKI DADRI,0
HARYANA,CHIKA,0
HARYANA,GOHANA,0
HARYANA,ISRANA,0
HARYANA,KALANAUR,0
HARYANA,KOSLI,0
HARYANA,MEHAM,0
HARYANA,NARAYANGARH,1
HARYANA,NARVANA,0
HARYANA,NILOKHERI,0
HARYANA,PANIPAT,0
HARYANA,PEHOWA,0
HARYANA,SAHABAD_HARYANA,0
HARYANA,SONIPAT,0
HIMACHAL PRADESH,ANNU,0
HIMACHAL PRADESH,BAJAURA,10
HIMACHAL PRADESH,BHARWARA,0
HIMACHAL PRADESH,BILASPUR_HP,7
HIMACHAL PRADESH,CHAIL,0
HIMACHAL PRADESH,CHELSEA,0
HIMACHAL PRADESH,DALHOUSIALHA,1
HIMACHAL PRADESH,JHANDUTA,0
HIMACHAL PRADESH,JOL,23
HIMACHAL PRADESH,KALPA,0
HIMACHAL PRADESH,KASOL,10
HIMACHAL PRADESH,LEO,0
HIMACHAL PRADESH,MANIKARAN,2
