,State,Station Name,Rainfall
0,ANDHRA PRADESH,ADILABAD,0.0
1,ANDHRA PRADESH,AMADALAVALASA_AWS,6.0
2,ANDHRA PRADESH,ASWARAOPET,0.0
3,ANDHRA PRADESH,AVANIGADDA,0.0
4,ANDHRA PRADESH,CHEVELLA,0.0
5,ANDHRA PRADESH,CHITTOOR,14.0
6,ANDHRA PRADESH,GUNTHAKAL,0.0
7,ANDHRA PRADESH,JANGAMESHWARAPURAM,0.0
8,ANDHRA PRADESH,KAMAREDDY,0.0
9,ANDHRA PRADESH,KHAMMAM,0.0
10,ANDHRA PRADESH,KOMARADA,0.0
11,ANDHRA PRADESH,KUKATPALLY JNTU,0.0
12,ANDHRA PRADESH,MADHIRA,0.0
13,ANDHRA PRADESH,MAHBUBNAGAR,16.0
14,ANDHRA PRADESH,MEDAK,0.0
15,ANDHRA PRADESH,MULUGU,0.0
16,ANDHRA PRADESH,NAGARJUNA SAGAR,0.0
17,ANDHRA PRADESH,NANDIGAMA,0.0
18,ANDHRA PRADESH,NARAYANKHED,0.0
19,ANDHRA PRADESH,NIRMAL,0.0
20,ANDHRA PRADESH,SHAMSHABAD,42.0
21,ANDHRA PRADESH,TIRUVURU,0.0
22,ANDHRA PRADESH,VIJAYAWADA,25.0
23,ANDHRA PRADESH,WARANGAL,0.0
24,ANDHRA PRADESH,YEMMIGANUR,0.0
25,ARUNACHAL PRADESH,ALONG,0.0
26,ARUNACHAL PRADESH,ANINI,0.0
27,ARUNACHAL PRADESH,BOMDILA,0.0
28,ASSAM,BAIHATA CHARIALI,0.0
29,ASSAM,BARPETA_ARG,0.0
30,ASSAM,BIJNI,0.0
31,ASSAM,BONGAIGAON,0.0
32,ASSAM,CHAMATA,0.0
33,ASSAM,CHANDRAPUR,0.0
34,ASSAM,DHUPDHARA,0.0
35,ASSAM,DIBRUGARH,2.0
36,ASSAM,DUDHNOI,0.0
37,ASSAM,FAKIRAGRAM,0.0
38,ASSAM,JAGIROAD,0.0
39,ASSAM,KHETRI,0.0
40,ASSAM,LAHARIGHAT,0.0
41,ASSAM,LANKA,0.0
42,ASSAM,MANIKPUR,0.0
43,ASSAM,SONARI,0.0
44,ASSAM,SRIJANGRAM,0.0
45,ASSAM,TAMULPUR,0.0
46,ASSAM,TITABOR,0.0
47,BIHAR,BAKHTIYARPUR,0.0
48,BIHAR,DARBANGHA_ARG,0.0
49,BIHAR,HATHUA,0.0
50,BIHAR,JHANJHARPUR,0.0
51,BIHAR,SITAMARHI,1.0
52,BIHAR,SUPAUL,0.0
53,CHANDIGARH,CHANDIGARH,0.0
54,CHATTISGARH,BAGICHA,0.0
55,CHATTISGARH,BIJAPUR,0.0
56,CHATTISGARH,DHAMTARI,3.0
57,CHATTISGARH,MOHALA,0.0
58,CHATTISGARH,NAWAGARH,0.0
59,CHATTISGARH,NAYA RAIPUR,0.0
60,CHATTISGARH,PITHORA,0.0
61,CHATTISGARH,RAMANUJGANJ,0.0
62,CHATTISGARH,SARAIPALI,0.0
63,DELHI,AYANAGAR,0.0
64,DELHI,DELHI UNIVERSITY,0.0
65,GOA,VALPOI,3.0
66,GUJARAT,AHWA,0.0
67,GUJARAT,BHUJ,0.0
68,GUJARAT,SAVARKUNDLA,0.0
69,HARYANA,AMBALA,0.0
70,HARYANA,BAHADURGARH,0.0
71,HARYANA,BARARA,0.0
72,HARYANA,BERI,0.0
73,HARYANA,CHACCHRAULI,0.0
74,HARYANA,CHARKI DADRI,0.0
75,HARYANA,CHIKA,0.0
76,HARYANA,GOHANA,0.0
77,HARYANA,ISRANA,0.0
78,HARYANA,KALANAUR,0.0
79,HARYANA,KOSLI,0.0
80,HARYANA,MEHAM,0.0
81,HARYANA,NARAYANGARH,0.0
82,HARYANA,NARVANA,0.0
83,HARYANA,PANIPAT,0.0
84,HARYANA,PEHOWA,0.0
85,HARYANA,SAHABAD_HARYANA,0.0
86,HARYANA,SONIPAT,0.0
87,HIMACHAL PRADESH,ANNU,0.0
88,HIMACHAL PRADESH,BAJAURA,5.0
89,HIMACHAL PRADESH,BHARWARA,0.0
90,HIMACHAL PRADESH,BILASPUR_HP,0.0
91,HIMACHAL PRADESH,CHAIL,0.0
92,HIMACHAL PRADESH,CHELSEA,0.0
93,HIMACHAL PRADESH,DHARMSHALA,0.0
94,HIMACHAL PRADESH,JHANDUTA,0.0
95,HIMACHAL PRADESH,KALPA,0.0
96,HIMACHAL PRADESH,KASOL,0.0
97,HIMACHAL PRADESH,LEO,0.0
98,HIMACHAL PRADESH,MANIKARAN,0.0
99,HIMACHAL PRADESH,POOH,0.0
100,HIMACHAL PRADESH,SANDHOLE,0.0
101,HIMACHAL PRADESH,SARAHAN,0.0
102,JAMMU AND KASHMIR,KHUDWANI,0.0
103,JHARKHAND,BARKAGAON,0.0
104,JHARKHAND,CHAIBASA,2.0
105,JHARKHAND,NEEMDIH,0.0
106,KARNATAKA,ALAND,33.0
107,KARNATAKA,ARABHAVI,0.0
108,KARNATAKA,AVATHI,0.0
109,KARNATAKA,BASAVAKALYAN,0.0
110,KARNATAKA,BELLARY,0.0
111,KARNATAKA,BHEEMARAYANAGUDI,2.0
112,KARNATAKA,CHAMRAJNAGAR,0.0
113,KARNATAKA,CHIKKANAKALLI,0.0
114,KARNATAKA,ELECTRONIC CITY(NICE),0.0
115,KARNATAKA,GOPAL NAGAR,0.0
116,KARNATAKA,GUNDLUPET,0.0
117,KARNATAKA,HAMSABHAVI,0.0
118,KARNATAKA,HANUR,0.0
119,KARNATAKA,HOSARITTI,0.0
120,KARNATAKA,HULIKAL,3.0
121,KARNATAKA,IMANGAL,0.0
122,KARNATAKA,JAMKHANDI,0.0
123,KARNATAKA,KAGINELE,0.0
124,KARNATAKA,KAWADIMATTI,0.0
125,KARNATAKA,KUNDARGI,0.0
126,KARNATAKA,MADHUGIRI,0.0
127,KARNATAKA,MALAVALLI,0.0
128,KARNATAKA,NARGUND,0.0
129,KARNATAKA,RADDEWADGI,0.0
130,KARNATAKA,RATTIHALLI,0.0
131,KERALA,CHERUTHAZHAM,79.0
132,KERALA,ERIMAYUR,0.0
133,KERALA,KAKKANADU,1.0
134,KERALA,MATTANUR,14.0
135,KERALA,PANNIYAR,1.0
136,KERALA,PERINGAMALA,22.0
137,KERALA,PERUMKADAVILA,0.0
138,KERALA,POOKOT,0.0
139,MADHYA PRADESH,A LOT,0.0
140,MADHYA PRADESH,BADNAWAR,0.0
141,MADHYA PRADESH,BARASIA,15.0
142,MADHYA PRADESH,BARELI,0.0
143,MADHYA PRADESH,BEGUMGANJ,0.0
144,MADHYA PRADESH,BHANDER,0.0
145,MADHYA PRADESH,BHOPAL,0.0
146,MADHYA PRADESH,BHOPAL_ARG,6.0
147,MADHYA PRADESH,BIJAWAR,0.0
148,MADHYA PRADESH,DATIA,0.0
149,MADHYA PRADESH,DEWAS,33.0
150,MADHYA PRADESH,DHAR,0.0
151,MADHYA PRADESH,DINDORI,0.0
152,MADHYA PRADESH,GHATIGAON,0.0
153,MADHYA PRADESH,HATTA,0.0
154,MADHYA PRADESH,INDERGARH,0.0
155,MADHYA PRADESH,ISLAMNAGAR,2.0
156,MADHYA PRADESH,JOBAT,0.0
157,MADHYA PRADESH,KANNOD,0.0
158,MADHYA PRADESH,KARAHAL,0.0
159,MADHYA PRADESH,KEOLARI,0.0
160,MADHYA PRADESH,KHURAI,0.0
161,MADHYA PRADESH,KUKSHI,0.0
162,MADHYA PRADESH,LATERI,2.0
163,MADHYA PRADESH,LIMBADITGAON,0.0
164,MADHYA PRADESH,MAJHAULI,0.0
165,MADHYA PRADESH,MANPUR,0.0
166,MADHYA PRADESH,MULTAI,0.0
167,MADHYA PRADESH,MUNGAOLI,0.0
